date,performance,accessibility,best_practices,seo
2026-03-27,0,0,0,0
2026-03-28,0,0,0,0
2026-03-29,0,0,0,0
2026-03-30,0,0,0,0
2026-03-31,0,0,0,0
2026-04-01,0,0,0,0
2026-04-02,0,0,0,0
2026-04-03,62,87.31,89,88.45
2026-04-04,55.82,91.74,91.19,88.43
2026-04-05,0,0,0,0
2026-04-06,52.8,92.56,90.72,89.27
2026-04-07,53.22,92.92,91.42,89.72
2026-04-08,53.55,91.94,90.09,87.91
2026-04-09,0,0,0,0
2026-04-10,54.76,92.09,89.53,87.95
2026-04-11,53.53,92.23,91.12,87.3
2026-04-12,0,0,0,0
2026-04-13,54.71,92.49,90.92,88.13
2026-04-14,53.41,92.68,91.63,88.48
2026-04-15,0,0,0,0
2026-04-16,53.99,92.13,91.49,86.83
2026-04-17,53.25,91.51,90.4,87.61
2026-04-18,0,0,0,0
2026-04-19,51.82,90.27,89.36,90.82
2026-04-20,58.5,92.17,93.83,91.5
2026-04-21,52.93,91.63,91.3,86.65
2026-04-22,60.92,86.38,90.08,88.46
2026-04-23,61.83,88.67,90.5,86.83
2026-04-24,52.14,94.14,92.14,84
2026-04-25,55.14,93.71,93.29,86.71
2026-04-26,0,0,0,0
